EX_BA-Dim-1 "Nie pozwolę się zastraszyć!"
EX_BA-Dim-2 "Czas stawić opór!"
EX_BB-Dim-1 "Wspólnie dla triumfu!"
EX_BB-Dim-2 "Za honor i chwałę!"
EX_BB-Dim-3 "Razem ku zwycięstwu!"
EX_BC-Dim-1 "Cicho i celnie."
EX_BC-Dim-2 "Z odległości - niewidzialny strzał."
EX_BD-Dim-1 "Nie ma schronienia przed eksplozją!"
EX_BD-Dim-2 "Zobaczysz ogień i zagładę!"
EX_BE-Dim-1 "Pociski spadają, zagłada nadchodzi!"
EX_BE-Dim-2 "Z hukiem i ogień - moździerz działa!"
EX_CA-Dim-1 "Dyscyplina nas prowadzi!"
EX_CA-Dim-2 "Za ojczyznę, gotowi do działania!"
EX_CA-Dim-3 "Jestem oddany misji."
EX_CA-Dim-4 "Lojalność przewodzi, działamy!"
EX_CA-Dim-5 "Spełnię polecenie."
EX_CA-Dim-6 "Zgodnie z rozkazem."
EX_CA-Dim-7 "Zgodnie z planem, działamy skutecznie!"
EX_EA-Dim-1 "Skrzynki!"
EX_EA-Dim-2 "Znaleźliśmy nową dostawę!"
EX_EB-Dim-1 "Alaskit!"
EX_EB-Dim-2 "Odnaleziono zasoby alaskitu!"
EX_EC-Dim-1 "Skarb ziemi - złoże ropy."
EX_EC-Dim-2 "Cenne złoże - ropa naftowa!"
EX_ED-Dim-1 "Witaj, podróżniku czasu!"
EX_ED-Dim-2 "Znów zabłądziłeś w czasie?"
EX_EE-Dim-1 "Przygotowani na starcie!"
EX_EE-Dim-2 "Wróg nadchodzi!"
EX_EE-Dim-3 "Spuśćcie na nich psy!"
EX_FA-Dim-1 "Raportuję, cel osiągnięty."
EX_FA-Dim-2 "Misja zakończona, oczekuję na dalsze polecenia."
EX_FA-Dim-3 "Jestem gotów na następne rozkazy."
EX_FB-Dim-1 "Docelowy punkt osiągnięty."
EX_FB-Dim-2 "Zgodnie z planem, jestem na miejscu."
EX_FC-Dim-1 "Maszyna gotowa do akcji!"
EX_FC-Dim-2 "Na pokładzie, gotowość do działania."
EX_FD-Dim-1 "Bezpieczeństwo przywrócone, przeciwnik zneutralizowany."
EX_FD-Dim-2 "Zadanie wykonane - przeciwnik wyeliminowany."
EX_FE-Dim-1 "Budowa zakończona."
EX_FF-Dim-1 "Pojazd gotowy do działania, towarzyszu."
EX_FG-Dim-1 "Leczenie zakończone."
EX_FH-Dim-1 "Badania ukończone, czekamy na wyniki."
EX_FI-Dim-1 "Dotarli kolejni poborowi."
EX_FL-Dim-1 "Złapałem kluczyki, teraz to mój pojazd."
EX_FM-Dim-1 "Budynek przejęty."
EX_HA-Dim-1 "Cholera!"
EX_HA-Dim-2 "Argh!"
EX_IA-Dim-1 "Bez walki, czas mija jakby wolniej."
EX_IA-Dim-2 "Kiedyś była walka, teraz nuda."
EX_IA-Dim-3 "Kaj Pałel Pak?"
EX_KA-Dim-1 "No dalej, sukinsyny!"
EX_KA-Dim-2 "Dalej, towarzysze! Jeszcze nas nie pokonali!"
EX_KA-Dim-3 "Wrogi atak, wszyscy na stanowiska!"
EX_LA-Dim-1 "Polepszyły się moje umiejętności walki."
EX_LA-Dim-2 "Zwiększyły się moje umiejętności walki."
EX_LB-Dim-1 "Polepszyły się moje umiejętności mechaniki."
EX_LB-Dim-2 "Zwiększyły się moje umiejętności mechaniki."
EX_LC-Dim-1 "Polepszyły się moje umiejętności inżynierii."
EX_LC-Dim-2 "Zwiększyły się moje umiejętności inżynierii."
EX_LD-Dim-1 "Polepszyły się moje umiejętności naukowe."
EX_LD-Dim-2 "Zwiększyły się moje umiejętności naukowe."
EX_MA-Dim-1 "Szybko, szybko!"
EX_MA-Dim-2 "Za mną, towarzysze."
EX_NA-Dim-1 "Niewykonalne."
EX_OA-Dim-1 "Dobry wróg to martwy wróg."
EX_OA-Dim-2 "Wybije wszystkich co do nogi."
EX_OF-Dim-1 "Zaraz się zbuduje."
EX_OG-Dim-1 "Pomogę ci."
EX_OG-Dim-2 "Zajmę się tym."
EX_OH-Dim-1 "Rozpoczynamy badania!"
EX_OH-Dim-2 "Podajcie mi kilka probówek."
EX_OI-Dim-1 "Zaraz będzie nowy poborowy."
EX_RA-Dim-1 "Zgłasza się Dimitrij."
EX_RA-Dim-2 "Czegoś trzeba, komandorze?"
EX_RB-Dim-1 "Dobrze nam idzie!"
EX_RB-Dim-2 "No dalej!"
EX_RC-Dim-1 "Pojazd gotów do wyruszenia."
EX_RC-Dim-2 "Gotów do walki zmechanizowanej."
EX_UA-Dim-1 "Argh..."
EX_UA-Dim-2 "Nie poddam się!"
EX_UA-Dim-3 "Zabiorę was ze sobą!"
EX_WA-Dim-1 "Żegnajcie, towarzysze..."
EX_XA-Dim-1 "Drzwi zablokowane."
EX_XB-Dim-2 "Złoże alaskitu zostało zniszczone."
EX_XC-Dim-1 "Niebezpieczne skażenie!"
EX_XC-Dim-2 "Chronić się przed promieniowaniem!"
EX_XD-Dim-1 "Koniec paliwa!"
EX_XE-Dim-1 "No to wracam do bycia żołnierzem."
